top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,migrated,reason
1788,1200,19,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1789,1194,21,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1790,1178,21,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1791,1193,25,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1792,1177,25,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1793,1192,31,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1794,1176,31,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1795,1190,37,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1796,1174,37,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1797,1183,37,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1798,1185,37,country,27,Rwanda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1799,1199,39,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1800,1187,39,country,27,Rwanda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1801,1211,80,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1802,1206,86,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1803,1201,188,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1804,1208,190,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1805,1207,192,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1806,1209,196,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1807,1189,228,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1808,1184,228,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1811,1023,9,continent,21,Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1813,1018,9,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1814,1013,9,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1815,1030,9,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1817,1028,11,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1818,1052,11,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1819,1063,11,continent,21,Africa,8,True,EXCLUDED_OTHER_DEFECT_CLASS
1820,1084,11,continent,21,Africa,9,True,EXCLUDED_OTHER_DEFECT_CLASS
1823,1088,13,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1824,1099,13,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1829,1003,15,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1830,1009,15,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1831,1022,15,continent,21,Africa,8,True,EXCLUDED_OTHER_DEFECT_CLASS
1834,1012,17,continent,21,Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1835,1026,17,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1836,1032,17,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1838,1045,19,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1839,1054,19,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1840,1064,19,continent,21,Africa,8,True,EXCLUDED_OTHER_DEFECT_CLASS
1843,1005,21,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1844,1010,21,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1845,1021,21,continent,21,Africa,8,True,EXCLUDED_OTHER_DEFECT_CLASS
1846,1058,21,continent,21,Africa,9,True,EXCLUDED_OTHER_DEFECT_CLASS
1847,1060,21,continent,21,Africa,10,True,EXCLUDED_OTHER_DEFECT_CLASS
1848,1011,23,continent,21,Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1849,1006,23,continent,21,Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1850,1038,23,continent,21,Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1851,1048,23,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1858,1034,25,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1859,1007,25,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1860,1025,25,continent,21,Africa,8,True,EXCLUDED_OTHER_DEFECT_CLASS
1861,1071,25,continent,21,Africa,9,True,EXCLUDED_OTHER_DEFECT_CLASS
1862,1075,25,continent,21,Africa,10,True,EXCLUDED_OTHER_DEFECT_CLASS
1866,1033,29,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1867,1085,29,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1871,1090,31,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1872,1100,31,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1875,1089,32,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
