top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,score,total_votes,migrated,reason
1308,300,129,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1309,304,131,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1310,308,133,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1311,312,135,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1313,320,139,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1314,324,141,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1315,328,143,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1316,332,145,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1317,573,147,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1318,336,147,continent,3,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1319,340,149,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1320,344,151,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1321,348,153,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1322,352,155,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1323,356,157,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1324,360,159,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1325,364,161,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1326,368,163,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1327,372,165,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1328,376,167,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1329,380,169,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1330,382,170,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1331,384,171,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1332,388,173,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1333,612,175,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1334,392,175,continent,3,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1345,565,190,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1346,564,192,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1445,876,41,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1446,870,41,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1447,946,41,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1448,918,41,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1449,906,41,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1450,677,41,regional,4,East Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1451,671,41,regional,4,East Africa,5,0,0,True,AUTHORITATIVE_COHORT_RESULT
1452,879,42,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1453,871,42,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1454,947,42,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1455,919,42,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1456,908,42,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1457,904,42,regional,4,East Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1459,920,45,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1460,907,45,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1461,678,45,regional,4,East Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1462,877,45,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1463,868,45,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1464,949,47,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1465,921,47,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1466,910,47,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1467,905,47,regional,4,East Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1468,878,47,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1469,869,47,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1483,932,64,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1484,930,64,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1485,940,64,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1486,935,64,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1487,933,64,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1491,976,72,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1492,642,72,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1503,998,80,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1504,982,80,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1505,980,80,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1506,972,80,regional,4,East Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1508,959,84,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1513,866,88,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1514,864,88,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1515,850,88,regional,4,West Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1516,881,90,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1517,873,90,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1518,893,92,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1519,886,92,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1520,885,92,regional,4,West Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1523,880,100,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1524,874,100,regional,4,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
