role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
DEACTIVATE,17216,597,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.403557,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,7437,597,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.530381,2026-05-02 01:00:37.359515,2026-05-02 01:48:58.468680
DEACTIVATE,5161,599,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.148423,2026-05-01 00:04:18.138192,2026-05-01 00:04:18.138192
DEACTIVATE,17156,599,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.027004,2026-09-03 12:08:17.012242,2026-09-03 12:08:17.012242
DEACTIVATE,5146,600,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.068711,2026-05-01 00:04:18.058787,2026-05-01 00:04:18.058787
DEACTIVATE,17278,600,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:18.565558,2026-09-03 12:08:18.551114,2026-09-03 12:08:18.551114
DEACTIVATE,5158,604,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.130270,2026-05-01 00:04:18.116804,2026-05-01 00:04:18.116804
DEACTIVATE,17170,604,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.056467,2026-09-03 12:08:17.037098,2026-09-03 12:08:17.037098
DEACTIVATE,5041,605,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.042006,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17217,605,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.404348,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5400,605,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:00:30.926205,2026-05-01 23:55:30.730713,2026-05-02 01:00:30.839543
DEACTIVATE,5485,605,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.551655,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,5162,607,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.149077,2026-05-01 00:04:18.138192,2026-05-01 00:04:18.138192
DEACTIVATE,17158,607,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.028459,2026-09-03 12:08:17.012242,2026-09-03 12:08:17.012242
DEACTIVATE,5147,609,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.069351,2026-05-01 00:04:18.058787,2026-05-01 00:04:18.058787
DEACTIVATE,17279,609,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:18.566684,2026-09-03 12:08:18.551114,2026-09-03 12:08:18.551114
DEACTIVATE,5152,610,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.124935,2026-05-01 00:04:18.116804,2026-05-01 00:04:18.116804
DEACTIVATE,17160,610,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.048084,2026-09-03 12:08:17.037098,2026-09-03 12:08:17.037098
DEACTIVATE,5028,611,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.032929,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17202,611,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.387821,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5386,611,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:00:30.922623,2026-05-01 23:55:30.730713,2026-05-02 01:00:30.839543
DEACTIVATE,5475,611,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.541995,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,14502,612,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:27.485943,2026-07-01 00:05:25.507512,2026-09-03 13:04:07.238422
DEACTIVATE,16233,612,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:23.257212,2026-08-01 02:38:50.622843,2026-09-03 13:04:07.238422
DEACTIVATE,5029,614,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.033407,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17203,614,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.388899,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5387,614,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:00:30.923851,2026-05-01 23:55:30.730713,2026-05-02 01:00:30.839543
DEACTIVATE,5476,614,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.543225,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,14420,615,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.733020,2026-07-01 00:05:23.934080,2026-09-03 13:04:07.238422
DEACTIVATE,15694,617,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.722390,2026-08-01 02:38:41.571896,2026-09-03 13:04:07.238422
DEACTIVATE,5037,618,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.039928,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17209,618,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.395760,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5388,618,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:00:30.924999,2026-05-01 23:55:30.730713,2026-05-02 01:00:30.839543
DEACTIVATE,5477,618,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.544346,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,5030,619,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.033922,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17204,619,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.390364,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5401,619,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:00:30.927436,2026-05-01 23:55:30.730713,2026-05-02 01:00:30.839543
DEACTIVATE,5486,619,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.552861,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,14419,623,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.720485,2026-07-01 00:05:23.934080,2026-09-03 13:04:07.238422
DEACTIVATE,5148,624,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.069931,2026-05-01 00:04:18.058787,2026-05-01 00:04:18.058787
DEACTIVATE,17280,624,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:18.567596,2026-09-03 12:08:18.551114,2026-09-03 12:08:18.551114
DEACTIVATE,5159,625,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:18.130938,2026-05-01 00:04:18.116804,2026-05-01 00:04:18.116804
DEACTIVATE,17169,625,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.055837,2026-09-03 12:08:17.037098,2026-09-03 12:08:17.037098
